Artist;City;Type
sb_ink_official;Jammu;base
ash_tattoo_rochester;Rochester;base
candybrainink;Northfield;base
neira.artist;Ceske Budejovice;base
neira.artist;Prague;visiting
neira.artist;Frydek Mistek;visiting
artist._afra;Brussels;base
tattoosbynickaustin;Fogelsville;base
teixeira_tattoo;Alvorada;base
yafitisakov;Akko;base
yafitisakov;Berlin;visiting
yafitisakov;Amsterdam;visiting
derbiq.tattoo;Leba;base
novakkart;Leba;base
novakkart;Mallorca;visiting
matheusstattoo;Barreiras;base
alzeda.tattoo;Caen;base
alzeda.tattoo;Lyon;visiting
alzeda.tattoo;Le Havre;visiting
alzeda.tattoo;Lille;visiting
alzeda.tattoo;Nantes;visiting
alzeda.tattoo;Paris;visiting
brina.ttt;York;base
brina.ttt;Lancaster;visiting
brina.ttt;Seoul;visiting
brina.ttt;Hanover;visiting
brina.ttt;Daegu;visiting
brina.ttt;Gimpo;visiting
fagnercamuflagemreparatoria;Santa Cruz do Sul;base
ellaholotova;Cardiff;base
benzotattoo;Bangkok;base
benzotattoo;Washington D.C.;visiting
benzotattoo;New York;visiting
benzotattoo;Las Vegas;visiting
benzotattoo;Paris;visiting
louisedowsettt;Toulouse;base
louisedowsettt;Paris;visiting
_shrimpink_;Lille;base
_shrimpink_;Nantes;visiting
palittroche;Guamuchil;base
facu.tats;Denver;base
facu.tats;Mendoza;visiting
facu.tats;New York;visiting
facu.tats;Cordoba;visiting
toni.ti.red;Moscow;base
beyondflesh;Berlin;base
_ghoul.ink;Istanbul;base
jack_deez;New York;base
tattooelpechu_07;Buenos Aires;base
steveinktattoo;Milan;base
loonecreation;Dordogne;base
bieldovalle;Liverpool;base
bieldovalle;Bray;visiting
blackbeetattoo_cz;Rokycany;base
_silvio.paladino_;Campagna;base
_lurch_middlefingers_magoo_;North Bay;base
cleovlamingart;Amsterdam;base
wil0tattoo;San Sebastian;base
wil0tattoo;Gijon;visiting
wil0tattoo;Madrid;visiting
wil0tattoo;Barcelona;visiting
wil0tattoo;Padua;visiting
wil0tattoo;Seville;visiting
wil0tattoo;Malaga;visiting
wil0tattoo;Bilbao;visiting
wil0tattoo;Bordeaux;visiting
wil0tattoo;Zurich;visiting
wil0tattoo;Berlin;visiting
wil0tattoo;San Jose;visiting
wil0tattoo;Panama;visiting
wil0tattoo;Maldonado;visiting
wil0tattoo;Los Angeles;visiting
wil0tattoo;Sidney;visiting
wil0tattoo;Lisboa;visiting
lanenafinaart;Cordoba;base
cholostattooarte;Brasilia;base
lpt.tattoo;Odesa;base
vampatattoo;Puebla;base
mistrzowietattoo_plock;Plock;base
royal.inkcg;Campo Grande;base
andreiatorres_astrea;Porto;base
aliroma_art_tattoo;Rome;base
spicygonz;Montreal;base
treve_azrael;Penzance;base
dude_skinz_integrity;Wakefield;base
yenhua.ink;San Jose;base
gokchelito;Ankara;base
melmadetattoos;Stafford;base
tattoo.sahar.ardebil;Ardebil;base
xandertats;Wakefield;base
blackdropsink;Florence;base
handpoke.koshanti;Saint Petersburg;base
handpoke.koshanti;Moscow;visiting
elocktattoo;Munich;base
mares_tattooist;Barcelona;base
tattoosbychanel;Cape Town;base
tattoosbychanel;Johannesburg;visiting
ashley_perrier;Winnipeg;base
norabelvei;Barcelona;base
steve_maycock_tattoos;Conroe;base
steve_maycock_tattoos;Sacramento;visiting
mirkodipompeo;Sanremo;base
virlaneduardtattoo;Bucharest;base
kyra.nako;Winnipeg;base
lucy.moana;Hamburg;base
lucy.moana;Cologne;visiting
lucy.moana;Padua;visiting
lucy.moana;Frankfurt;visiting
lucy.moana;Stuttgart;visiting
lucy.moana;Dresden;visiting
lucy.moana;Munich;visiting
lucy.moana;Kassel;visiting
miren_the_forest_witch__;Tolouse;base
miren_the_forest_witch__;Lyon;visiting
tatsbyambs;Southend on Sea;base
stetattoos86;Darlington;base
artinadadu;Julich;base
boujee.tattoos;Hamburg;base
kshinetattoos;Asheville;base
thomas_tatuajes;Salt Lake City;base
maubrush;Valencia;base
maubrush;Tours;visiting
maubrush;Luxembourg City;visiting
maubrush;Porrentruy;visiting
maubrush;Cologne;visiting
maubrush;Essen;visiting
ivoire_noir;Marseille;base
ivoire_noir;Berlin;visiting
ivoire_noir;Mons;visiting
ivoire_noir;Edinburgh;visiting
gabrielepalma_;Milan;base
gabrielepalma_;Dubai;visiting
gabrielepalma_;Hamburg;visiting
gabrielepalma_;New York;visiting
gabrielepalma_;Sao Paulo;visiting
gabrielepalma_;Zurich;visiting
gabrielepalma_;Tel Aviv;visiting
gabrielepalma_;Munich;visiting
gabrielepalma_;Metz;visiting
gabrielepalma_;Paris;visiting
gabrielepalma_;Padua;visiting
gabrielepalma_;Rome;visiting
gabrielepalma_;Dresden;visiting
gabrielepalma_;Stockholm;visiting
gabrielepalma_;Florence;visiting
gabrielepalma_;Varese;visiting
gabrielepalma_;Riccione;visiting
mowgli_artist;London;base
mowgli_artist;Berlin;visiting
mowgli_artist;Paris;visiting
mor__asraf;Tel Aviv;base
mor__asraf;Dresden;visiting
mor__asraf;Amsterdam;visiting
mor__asraf;Paris;visiting
mor__asraf;London;visiting
mor__asraf;Berlin;visiting
mor__asraf;Hamburg;visiting
mor__asraf;Stuttgart;visiting
mor__asraf;New York;visiting
mor__asraf;Vienna;visiting
mor__asraf;Milan;visiting
mor__asraf;Padua;visiting
lafragile;Padua;base
lafragile;Milan;visiting
lafragile;Paris;visiting
jiro_painter;Seoul;base
jiro_painter;New York;visiting
jiro_painter;London;visiting
tattooist_mul;Seoul;base
tattooist_mul;Melbourne;visiting
tattooist_mul;Paris;visiting
tattooist_mul;Frankfurt;visiting
tattooist_mul;London;visiting
mood_indigo_tattoo;Seoul;base
voldblk;Seoul;base
voldblk;London;visiting
voldblk;Paris;visiting
voldblk;Melbourne;visiting
voldblk;Sydney;visiting
voldblk;Brisbane;visiting
voldblk;Busan;visiting
jamesrakotoo;Paris;base
jamesrakotoo;Antananarivo;visiting
jamesrakotoo;Geneva;visiting
heart.poke;London;base
heart.poke;Brighton;visiting
heart.poke;Bristol;visiting
heart.poke;Manchester;visiting
heart.poke;Newcastle;visiting
heart.poke;Edinburgh;visiting
heart.poke;Berlin;visiting
heart.poke;Amsterdam;visiting
heart.poke;Tel Aviv;visiting
yeraytat;Manresa;base
yeraytat;Barcelona;visiting
yeraytat;Madrid;visiting
yeraytat;Seville;visiting
lola.tattoo;Cologne;base
lola.tattoo;London;visiting
lola.tattoo;Munich;visiting
lola.tattoo;Frankfurt;visiting
lola.tattoo;Stuttgart;visiting
lola.tattoo;Leipzig;visiting
lola.tattoo;Berlin;visiting
lola.tattoo;Brussels;visiting
lola.tattoo;Paris;visiting
lola.tattoo;Vienna;visiting
lola.tattoo;Stockholm;visiting
lola.tattoo;Helsinki;visiting
lola.tattoo;Copenhagen;visiting
lola.tattoo;Warsaw;visiting
lola.tattoo;Barcelona;visiting
lola.tattoo;Prague;visiting
lola.tattoo;Zurich;visiting
lola.tattoo;Lyon;visiting
lola.tattoo;Madrid;visiting
lola.tattoo;Amsterdam;visiting
lola.tattoo;Kiev;visiting
lola.tattoo;Kharko;visiting
lola.tattoo;Lviv;visiting
botti_hsu;Berlin;base
botti_hsu;Tainan;visiting
botti_hsu;Taipei;visiting
botti_hsu;London;visiting
botti_hsu;Vienna;visiting
botti_hsu;Paris;visiting
rimu_tattoo;Dresden;base
rimu_tattoo;Berlin;visiting
rimu_tattoo;Vienna;visiting
rimu_tattoo;Amsterdam;visiting
rimu_tattoo;Hamburg;visiting
rimu_tattoo;Frankfurt;visiting
rimu_tattoo;Dusseldorf;visiting
rimu_tattoo;Augsburg;visiting
rimu_tattoo;Munich;visiting
rimu_tattoo;London;visiting
rimu_tattoo;Stuttgart;visiting
rimu_tattoo;Singapore;visiting
gab7sz;Dresden;base
gab7sz;Zurich;visiting
gab7sz;London;visiting
becca.rose.tt;Seoul;base
becca.rose.tt;Berlin;visiting
becca.rose.tt;Dresden;visiting
becca.rose.tt;Amsterdam;visiting
becca.rose.tt;Hamburg;visiting
becca.rose.tt;Augsburg;visiting
becca.rose.tt;Frankfurt;visiting
becca.rose.tt;Dusseldorf;visiting
becca.rose.tt;Copenhagen;visiting
becca.rose.tt;Amsterdam;visiting
becca.rose.tt;Vienna;visiting
becca.rose.tt;Stuttgart;visiting
becca.rose.tt;Munich;visiting
becca.rose.tt;London;visiting
becca.rose.tt;Zurich;visiting
becca.rose.tt;San Francisco;visiting
becca.rose.tt;Busan;visiting
architex_tattoo;Hamburg;base
architex_tattoo;Dresden;visiting
architex_tattoo;Brussels;visiting
architex_tattoo;Munich;visiting
belmontetattoo;Madrid;base
belmontetattoo;Vienna;visiting
belmontetattoo;New York;visiting
belmontetattoo;Dresden;visiting
belmontetattoo;Barcelona;visiting
belmontetattoo;Zurich;visiting
belmontetattoo;Munich;visiting
belmontetattoo;Valladolid;visiting
